2,Supercars Chevrolet Camaro Gen3,adelaide
Steering Wheel Angle,Yaw Rate
154.005478,0.802704
153.016708,0.797047
152.000443,0.790413
151.011673,0.784287
150.022858,0.778509
149.006622,0.772014
148.017822,0.766412
147.001556,0.760215
146.012772,0.754425
145.023972,0.748145
144.007736,0.741978
143.018936,0.736072
142.002655,0.730341
141.013901,0.724052
140.025085,0.718520
139.008850,0.711779
138.020050,0.706412
137.003769,0.700056
136.014999,0.694417
135.026199,0.688392
134.009964,0.681809
133.021164,0.668512
132.004913,0.664161
131.016113,0.659484
130.027283,0.654433
129.011078,0.649409
128.022263,0.644489
127.006020,0.639388
126.017204,0.634422
125.000938,0.629337
124.012169,0.624429
123.023369,0.619386
122.007118,0.614328
121.018311,0.609432
120.002029,0.604312
119.013283,0.599318
118.024460,0.594321
117.008224,0.589255
116.019402,0.584327
115.003166,0.579223
114.014351,0.574288
113.025566,0.569277
112.009323,0.564249
111.020508,0.559281
110.004265,0.554213
109.015457,0.549226
108.026642,0.544276
107.010399,0.539163
106.021584,0.534222
105.005371,0.529136
104.016556,0.524110
103.027771,0.519189
102.011497,0.514143
101.022690,0.509170
100.006439,0.504020
99.017632,0.499076
98.001389,0.494005
97.012573,0.489069
96.023758,0.484075
95.007515,0.478980
94.018700,0.473965
93.002457,0.468917
92.013649,0.463925
91.024887,0.458966
90.008591,0.453866
89.019775,0.448986
88.003563,0.443839
87.014717,0.438918
86.025963,0.433916
85.009674,0.428842
84.020859,0.423865
83.004631,0.418753
82.015800,0.413791
81.027039,0.408807
80.010742,0.403716
79.021935,0.398750
78.005684,0.393647
77.016876,0.388695
76.000633,0.383571
75.011818,0.378662
74.023056,0.373644
73.006760,0.368541
72.017944,0.363538
71.001701,0.358439
70.012894,0.353467
69.024109,0.348507
68.007835,0.343469
67.018997,0.338475
66.002754,0.333326
65.013939,0.328350
64.025177,0.323400
63.008881,0.318228
62.020069,0.313294
61.003826,0.308240
60.015011,0.303197
59.026226,0.298285
58.009926,0.293158
57.021172,0.288167
56.004875,0.283077
55.016060,0.278109
54.027275,0.273097
53.011005,0.267996
52.022217,0.262993
51.005924,0.257858
50.017109,0.252890
49.000866,0.247768
48.012054,0.242768
47.023270,0.237765
46.006969,0.232654
45.018211,0.227647
44.001915,0.222558
43.013073,0.217557
42.024315,0.212563
41.008018,0.207444
40.019230,0.202487
39.002964,0.197288
38.014122,0.192360
37.025364,0.187377
36.009068,0.182201
35.020279,0.177261
34.003983,0.172136
33.015167,0.167104
32.026382,0.162121
31.010088,0.156990
30.021326,0.151994
29.005032,0.146893
28.016247,0.141902
27.027433,0.136879
26.011137,0.131802
25.022348,0.126787
24.006052,0.121588
23.017294,0.116589
22.000998,0.111409
21.012157,0.106445
20.023371,0.101451
19.007101,0.096328
18.018314,0.091284
17.002018,0.086128
16.013233,0.081144
15.024419,0.076166
14.008123,0.070996
13.019336,0.065956
12.003040,0.060839
11.014254,0.055855
10.025441,0.050811
9.009144,0.045633
8.020358,0.040683
7.004062,0.035542
6.015275,0.030476
5.026462,0.025505
4.010166,0.020361
3.021353,0.015285
2.005083,0.010207
